altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-7956197-B2,2011-06-07T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-7956197-B2,2011-06-07T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-7956197-B2,2011-06-07T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-7956197-B2,2011-06-07T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8124643-B2,2012-02-28T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8124643-B2,2012-02-28T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8124643-B2,2012-02-28T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8124643-B2,2012-02-28T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-8227569-B2,2012-07-24T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immunoinflammatory disorders.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-8227569-B2,2012-07-24T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immunoinflammatory disorders.,
