altmetric_id,core_doi,document_type,title,unique_identifier,posted_on,summary,lang_checked
803051,10.1126/science.1213362,policy,India-United States Cooperation on Science and Technology for Countering Terrorism: Summary of a Workshop,https://www.nap.edu/download/18960,01/01/2014,,True
803051,10.1126/science.1213362,policy,Directed Evolution for Development and Production of Bioactive Agents: A Meeting Summary,https://www.nap.edu/download/18354,01/01/2013,,True
803051,10.1126/science.1213362,policy,Biosafety recommendations for work with influenza viruses containing a hemagglutinin from the A/goose/Guangdong/1/96 lineage,https://stacks.cdc.gov/view/cdc/13731/cdc_13731_ds1.pdf,28/06/2013,,True
803051,10.1126/science.1213362,policy,Emerging Viral Diseases: The One Health Connection: Workshop Summary,https://www.nap.edu/download/18975,01/01/2015,,True
803051,10.1126/science.1213362,policy,A Proposed Framework for Identifying Potential Biodefense Vulnerabilities Posed by Synthetic Biology: Interim Report,https://www.nap.edu/download/24832,01/01/2017,,True
803051,10.1126/science.1213362,policy,WHO public health research agenda for influenza: reducing the risk of emergence of a pandemic influenza,https://iris.who.int/bitstream/10665/259891/1/who-whe-ihm-gip-2017.4-eng.pdf,22/01/2018,,True
803051,10.1126/science.1213362,policy,"Weekly Epidemiological Record, 2013, vol. 88, 13 [‎full issue]‎",https://iris.who.int/bitstream/10665/242049/1/wer8813.pdf,16/06/2016,,True
803051,10.1126/science.1213362,policy,"Update on human cases of influenza at the human-animal interface, 2012 = Le point sur les cas humains de grippe à l’interface homme-animal, 2012",https://iris.who.int/bitstream/10665/242048/1/wer8813_137-144.pdf,16/06/2016,,True
803051,10.1126/science.1213362,policy,Emerging technologies and dual-use concerns: a horizon scan for global public health,https://iris.who.int/bitstream/10665/346862/1/9789240036161-eng.pdf,22/10/2021,,True
803051,10.1126/science.1213362,policy,Lessons Learned from the COVID-19 Outbreak,https://www.rand.org/content/dam/rand/pubs/perspectives/pea1400/pea1481-2/rand_pea1481-2.pdf,01/11/2022,,True
803051,10.1126/science.1213362,policy,Understanding the Global Gain-of-Function Research Landscape,10.51593/20220035,01/08/2023,,True
803051,10.1126/science.1213362,policy,Understanding and Responding to Global Health Security Risks from Microbial Threats in the Arctic,10.17226/25887,01/09/2020,,True
803051,10.1126/science.1213362,policy,"OECD Science, Technology and Innovation Outlook 2023",https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/03/oecd-science-technology-and-innovation-outlook-2023_fb6e6c20/0b55736e-en.pdf,15/03/2023,,True
803051,10.1126/science.1213362,policy,Interferences between non-proliferation and science,https://op.europa.eu/o/opportal-service/download-handler?identifier=7aa93b6b-f5bb-11e7-b8f5-01aa75ed71a1&format=pdf&language=en&productionsystem=cellar&part=,09/01/2018,,True
